ubicaciones_id,latitud,longitud,descripcion
1,9.9228601,-84.303589,1
2,9.8903933,-84.37706,2
3,9.9066267,-84.188919,3
4,9.8707752,-84.27063,4
5,9.8193588,-84.3647,5
6,9.8004141,-84.296036,6
7,9.7631979,-84.37912,7
8,9.7428961,-84.221191,8
9,9.8416853,-84.120941,9
10,9.8389797,-84.198532,10
11,9.753047,-84.119568,11
12,9.8714523,-84.05365,12
13,9.9215078,-84.070129,13
14,9.7550774,-84.041977,14
15,9.8660402,-83.986359,15
16,9.9837284,-84.015198,16
17,10.035119,-84.285736,17
18,10.00672,-83.879242,18
19,9.8159761,-83.851776,19
20,9.7144718,-83.94516,20
21,9.8213882,-83.964386,21
22,9.9620876,-83.757019,22
23,9.7280073,-83.73642,23
24,9.9133911,-83.846283,24
25,10.00672,-84.37912,25
